 ,Area,Mean,Min,Max,X,Y,Counter,Count
1,0,171,171,171,2291.000,2606.000,1,10
2,0,188,188,188,2658.833,2541.833,1,10
3,0,169,169,169,2042.833,2253.833,1,10
4,0,182,182,182,2246.833,1900.500,1,10
5,0,177,177,177,1952.167,1687.500,1,10
6,0,172,172,172,1964.167,1647.500,1,10
7,0,190,190,190,2016.167,1276.167,1,10
8,0,186,186,186,2232.167,1020.167,1,10
9,0,174,174,174,2873.500,2071.833,1,10
10,0,162,162,162,3606.833,1923.833,1,10
11,0,159,159,159,1925.833,2767.167,2,810
12,0,162,162,162,1895.833,2757.167,2,810
13,0,150,150,150,2067.167,2673.833,2,810
14,0,130,130,130,2133.833,2551.167,2,810
15,0,95,95,95,2122.500,2476.500,2,810
16,0,83,83,83,2118.500,2441.833,2,810
17,0,169,169,169,2082.500,2449.833,2,810
18,0,95,95,95,2003.167,2462.500,2,810
19,0,163,163,163,1849.167,2539.833,2,810
20,0,167,167,167,2152.500,2728.833,2,810
21,0,119,119,119,1884.500,2327.500,2,810
22,0,170,170,170,2064.500,2345.500,2,810
23,0,168,168,168,2147.167,2352.167,2,810
24,0,156,156,156,2039.833,2315.500,2,810
25,0,172,172,172,2016.500,2313.500,2,810
26,0,168,168,168,2041.167,2286.833,2,810
27,0,138,138,138,2022.500,2284.167,2,810
28,0,111,111,111,2003.833,2265.500,2,810
29,0,145,145,145,1980.500,2288.833,2,810
30,0,171,171,171,2072.500,2225.500,2,810
31,0,183,183,183,2132.500,2104.833,2,810
32,0,165,165,165,1927.167,2171.500,2,810
33,0,126,126,126,1795.167,2218.833,2,810
34,0,154,154,154,1789.833,2043.500,2,810
35,0,151,151,151,1824.500,2040.167,2,810
36,0,125,125,125,1827.167,2075.500,2,810
37,0,170,170,170,1877.167,2067.500,2,810
38,0,122,122,122,1923.833,2068.833,2,810
39,0,167,167,167,1924.500,2034.833,2,810
40,0,183,183,183,1957.167,2057.500,2,810
41,0,160,160,160,2013.833,2014.167,2,810
42,0,170,170,170,2075.167,2006.833,2,810
43,0,174,174,174,2111.167,1978.833,2,810
44,0,176,176,176,2151.167,1984.167,2,810
45,0,167,167,167,2024.500,1974.833,2,810
46,0,175,175,175,1967.833,1990.167,2,810
47,0,125,125,125,1921.167,1987.500,2,810
48,0,171,171,171,1835.833,1938.167,2,810
49,0,129,129,129,1835.833,1953.500,2,810
50,0,155,155,155,1718.500,2013.500,2,810
51,0,174,174,174,1759.167,1825.500,2,810
52,0,158,158,158,1668.500,1800.167,2,810
53,0,171,171,171,1708.500,1726.167,2,810
54,0,143,143,143,1715.167,1694.167,2,810
55,0,161,161,161,1737.833,1710.833,2,810
56,0,164,164,164,1767.833,1634.167,2,810
57,0,159,159,159,1539.833,1683.500,2,810
58,0,160,160,160,1531.167,1656.167,2,810
59,0,148,148,148,1561.167,1553.500,2,810
60,0,85,85,85,1869.167,1822.833,2,810
61,0,159,159,159,1905.167,1895.500,2,810
62,0,175,175,175,1947.833,1800.167,2,810
63,0,156,156,156,2025.833,1842.167,2,810
64,0,156,156,156,2111.167,1868.833,2,810
65,0,180,180,180,2071.167,1820.833,2,810
66,0,127,127,127,2132.500,1800.167,2,810
67,0,161,161,161,2076.500,1784.833,2,810
68,0,107,107,107,2057.167,1754.833,2,810
69,0,182,182,182,2117.167,1691.500,2,810
70,0,172,172,172,2131.833,1676.167,2,810
71,0,108,108,108,2035.833,1742.167,2,810
72,0,157,157,157,2011.833,1747.500,2,810
73,0,163,163,163,1984.500,1734.833,2,810
74,0,173,173,173,1933.833,1731.500,2,810
75,0,167,167,167,1925.833,1764.833,2,810
76,0,179,179,179,1877.833,1664.167,2,810
77,0,159,159,159,1937.833,1610.167,2,810
78,0,187,187,187,1863.833,1586.167,2,810
79,0,160,160,160,1883.833,1570.833,2,810
80,0,184,184,184,1895.833,1536.833,2,810
81,0,84,84,84,1925.833,1536.833,2,810
82,0,167,167,167,2001.167,1541.500,2,810
83,0,117,117,117,1921.833,1473.167,2,810
84,0,172,172,172,1883.167,1454.500,2,810
85,0,166,166,166,1869.167,1477.167,2,810
86,0,80,80,80,1833.167,1469.833,2,810
87,0,166,166,166,1813.833,1477.167,2,810
88,0,159,159,159,1779.167,1493.167,2,810
89,0,163,163,163,1745.167,1475.833,2,810
90,0,162,162,162,1751.167,1440.500,2,810
91,0,91,91,91,1739.167,1414.500,2,810
92,0,121,121,121,1765.167,1416.500,2,810
93,0,86,86,86,1881.167,1356.500,2,810
94,0,164,164,164,1950.500,1381.167,2,810
95,0,88,88,88,1974.500,1445.833,2,810
96,0,120,120,120,2091.833,1334.500,2,810
97,0,154,154,154,2081.833,1314.500,2,810
98,0,160,160,160,2150.500,1339.167,2,810
99,0,161,161,161,2052.500,1292.500,2,810
100,0,165,165,165,1955.167,1331.167,2,810
101,0,167,167,167,1938.500,1300.500,2,810
102,0,163,163,163,1961.833,1291.833,2,810
103,0,142,142,142,1932.500,1301.833,2,810
104,0,168,168,168,1863.167,1281.833,2,810
105,0,154,154,154,1469.167,1420.500,2,810
106,0,116,116,116,1953.167,1255.833,2,810
107,0,138,138,138,2048.500,1261.833,2,810
108,0,162,162,162,2033.833,1271.167,2,810
109,0,138,138,138,2025.833,1217.167,2,810
110,0,133,133,133,2032.500,1197.167,2,810
111,0,111,111,111,2022.500,1187.833,2,810
112,0,166,166,166,1991.833,1193.167,2,810
113,0,65,65,65,2043.833,1136.500,2,810
114,0,181,181,181,2147.833,1225.167,2,810
115,0,172,172,172,2144.500,1188.500,2,810
116,0,172,172,172,2131.167,1188.500,2,810
117,0,178,178,178,2151.167,1087.167,2,810
118,0,166,166,166,1979.833,1049.167,2,810
119,0,143,143,143,1970.500,1039.833,2,810
120,0,160,160,160,1973.167,1001.833,2,810
121,0,162,162,162,2017.833,955.167,2,810
122,0,154,154,154,2525.500,3185.500,2,810
123,0,161,161,161,2641.000,2865.500,2,810
124,0,172,172,172,2633.000,2828.500,2,810
125,0,172,172,172,2597.500,2824.500,2,810
126,0,185,185,185,2604.000,2800.500,2,810
127,0,165,165,165,2591.000,2722.500,2,810
128,0,163,163,163,2588.500,2697.000,2,810
129,0,92,92,92,2587.000,2622.000,2,810
130,0,146,146,146,2550.000,2628.500,2,810
131,0,167,167,167,2537.500,2728.000,2,810
132,0,158,158,158,2506.500,2728.000,2,810
133,0,156,156,156,2477.000,2746.500,2,810
134,0,176,176,176,2456.000,2692.500,2,810
135,0,190,190,190,2437.500,2671.000,2,810
136,0,187,187,187,2425.000,2762.500,2,810
137,0,168,168,168,2386.500,2746.000,2,810
138,0,165,165,165,2382.500,2672.000,2,810
139,0,93,93,93,2274.000,2725.500,2,810
140,0,120,120,120,2224.000,2739.000,2,810
141,0,176,176,176,2261.500,2646.000,2,810
142,0,133,133,133,2213.500,2608.000,2,810
143,0,130,130,130,2320.500,2577.500,2,810
144,0,169,169,169,2489.000,2572.000,2,810
145,0,176,176,176,2664.000,2693.000,2,810
146,0,180,180,180,2605.500,2555.000,2,810
147,0,171,171,171,2579.000,2545.500,2,810
148,0,91,91,91,2591.500,2504.000,2,810
149,0,134,134,134,2455.500,2545.000,2,810
150,0,163,163,163,2441.000,2526.000,2,810
151,0,179,179,179,2472.500,2520.500,2,810
152,0,187,187,187,2474.500,2496.500,2,810
153,0,159,159,159,2484.000,2481.500,2,810
