 ,Area,Mean,Min,Max,X,Y,Counter,Count
1,0,218,218,218,3394.000,2570.000,0,10
2,0,204,204,204,3209.500,2937.500,0,10
3,0,209,209,209,3099.500,2947.500,0,10
4,0,225,225,225,3373.500,3501.500,0,10
5,0,231,231,231,4195.500,2967.500,0,10
6,0,221,221,221,4545.500,2371.500,0,10
7,0,176,176,176,4391.500,3911.500,0,10
8,0,189,189,189,3309.500,4007.500,0,10
9,0,242,242,242,4290.500,1734.500,0,10
10,0,233,233,233,4785.500,1668.500,0,10
11,0,160,160,160,2383.500,1785.500,1,117
12,0,191,191,191,2436.167,1824.167,1,117
13,0,171,171,171,2262.833,2233.500,1,117
14,0,186,186,186,2274.167,2392.167,1,117
15,0,200,200,200,2516.833,2209.500,1,117
16,0,187,187,187,2420.167,2404.833,1,117
17,0,170,170,170,2598.833,2428.833,1,117
18,0,183,183,183,2416.833,2880.500,1,117
19,0,170,170,170,2282.167,2944.500,1,117
20,0,191,191,191,2254.167,3080.500,1,117
21,0,199,199,199,2230.167,3150.500,1,117
22,0,156,156,156,2386.167,3749.833,1,117
23,0,172,172,172,2911.833,4262.833,1,117
24,0,174,174,174,2635.167,4111.500,1,117
25,0,164,164,164,2759.833,4043.500,1,117
26,0,161,161,161,2845.833,3928.833,1,117
27,0,171,171,171,2826.500,3870.167,1,117
28,0,183,183,183,2775.167,3862.167,1,117
29,0,155,155,155,3249.833,3974.833,1,117
30,0,196,196,196,2635.167,3378.167,1,117
31,0,186,186,186,2805.833,3355.500,1,117
32,0,205,205,205,2869.833,3348.167,1,117
33,0,194,194,194,2853.167,2718.167,1,117
34,0,200,200,200,2855.167,2682.167,1,117
35,0,196,196,196,2965.167,2622.167,1,117
36,0,188,188,188,2873.167,2527.500,1,117
37,0,197,197,197,3003.833,2510.833,1,117
38,0,200,200,200,2869.167,2103.500,1,117
39,0,201,201,201,3026.500,1611.500,1,117
40,0,174,174,174,2876.500,1582.167,1,117
41,0,172,172,172,2944.500,1490.167,1,117
42,0,193,193,193,2545.167,1362.833,1,117
43,0,188,188,188,2529.167,1174.167,1,117
44,0,187,187,187,3041.167,1158.833,1,117
45,0,165,165,165,3145.167,979.500,1,117
46,0,181,181,181,3197.167,902.167,1,117
47,0,117,117,117,3336.167,738.500,1,117
48,0,173,173,173,3252.833,872.500,1,117
49,0,171,171,171,3907.500,742.500,1,117
50,0,174,174,174,3731.500,1003.167,1,117
51,0,185,185,185,3320.833,1225.833,1,117
52,0,183,183,183,3569.500,1481.167,1,117
53,0,228,228,228,3590.167,1531.833,1,117
54,0,215,215,215,3546.167,1606.500,1,117
55,0,201,201,201,3681.500,1697.167,1,117
56,0,172,172,172,3702.167,1715.167,1,117
57,0,192,192,192,3882.833,1497.167,1,117
58,0,198,198,198,3662.833,1933.167,1,117
59,0,189,189,189,3730.833,1955.833,1,117
60,0,197,197,197,3721.500,2117.833,1,117
61,0,182,182,182,3517.500,2375.833,1,117
62,0,206,206,206,3866.833,2411.833,1,117
63,0,199,199,199,3378.833,2938.500,1,117
64,0,198,198,198,3758.833,2874.500,1,117
65,0,228,228,228,3944.167,2930.500,1,117
66,0,191,191,191,3638.833,3133.167,1,117
67,0,193,193,193,3620.167,3214.500,1,117
68,0,187,187,187,3709.500,3257.833,1,117
69,0,221,221,221,3440.833,3395.833,1,117
70,0,185,185,185,3484.833,3512.500,1,117
71,0,201,201,201,3694.167,3534.500,1,117
72,0,190,190,190,3325.500,3841.167,1,117
73,0,191,191,191,3514.833,4097.167,1,117
74,0,202,202,202,3380.833,4120.500,1,117
75,0,172,172,172,3286.167,4239.167,1,117
76,0,59,59,59,3726.167,4103.833,1,117
77,0,177,177,177,3960.167,4069.167,1,117
78,0,196,196,196,3904.167,3941.833,1,117
79,0,165,165,165,3676.167,4370.500,1,117
80,0,164,164,164,3628.167,4422.500,1,117
81,0,150,150,150,3766.167,4303.833,1,117
82,0,199,199,199,3244.167,4443.833,1,117
83,0,169,169,169,4185.500,4401.167,1,117
84,0,148,148,148,4113.500,4293.167,1,117
85,0,167,167,167,4149.500,4155.833,1,117
86,0,191,191,191,4398.833,3987.167,1,117
87,0,192,192,192,4050.833,3685.167,1,117
88,0,200,200,200,4046.167,3644.500,1,117
89,0,170,170,170,4484.167,3739.833,1,117
90,0,214,214,214,4482.167,3619.167,1,117
91,0,201,201,201,4180.167,3509.833,1,117
92,0,219,219,219,4182.833,3308.500,1,117
93,0,209,209,209,4091.500,3216.500,1,117
94,0,197,197,197,4128.167,3149.167,1,117
95,0,224,224,224,4455.500,2938.500,1,117
96,0,174,174,174,4216.833,2337.833,1,117
97,0,188,188,188,4510.167,2319.833,1,117
98,0,206,206,206,4471.500,2197.833,1,117
99,0,157,157,157,4143.500,2143.167,1,117
100,0,182,182,182,4230.833,1791.167,1,117
101,0,127,127,127,3929.500,1777.167,1,117
102,0,150,150,150,4429.500,1398.500,1,117
103,0,183,183,183,4478.833,1147.833,1,117
104,0,152,152,152,4992.500,1189.500,1,117
105,0,186,186,186,4715.833,1721.500,1,117
106,0,186,186,186,4696.500,1900.833,1,117
107,0,212,212,212,4723.833,2238.167,1,117
108,0,171,171,171,4653.833,2430.833,1,117
109,0,183,183,183,5005.167,2403.500,1,117
110,0,206,206,206,5085.833,2314.833,1,117
111,0,203,203,203,5064.500,2441.500,1,117
112,0,200,200,200,4637.167,3172.833,1,117
113,0,192,192,192,4618.500,3327.500,1,117
114,0,150,150,150,4847.833,3347.500,1,117
115,0,186,186,186,5121.833,3350.833,1,117
